id,name,code,state_id
res.country_city_1101,KABUPATEN SIMEULUE,1101,ACEH
res.country_city_1102,KABUPATEN ACEH SINGKIL,1102,ACEH
res.country_city_1103,KABUPATEN ACEH SELATAN,1103,ACEH
res.country_city_1104,KABUPATEN ACEH TENGGARA,1104,ACEH
res.country_city_1105,KABUPATEN ACEH TIMUR,1105,ACEH
res.country_city_1106,KABUPATEN ACEH TENGAH,1106,ACEH
res.country_city_1107,KABUPATEN ACEH BARAT,1107,ACEH
res.country_city_1108,KABUPATEN ACEH BESAR,1108,ACEH
res.country_city_1109,KABUPATEN PIDIE,1109,ACEH
res.country_city_1110,KABUPATEN BIREUEN,1110,ACEH
res.country_city_1111,KABUPATEN ACEH UTARA,1111,ACEH
res.country_city_1112,KABUPATEN ACEH BARAT DAYA,1112,ACEH
res.country_city_1113,KABUPATEN GAYO LUES,1113,ACEH
res.country_city_1114,KABUPATEN ACEH TAMIANG,1114,ACEH
res.country_city_1115,KABUPATEN NAGAN RAYA,1115,ACEH
res.country_city_1116,KABUPATEN ACEH JAYA,1116,ACEH
res.country_city_1117,KABUPATEN BENER MERIAH,1117,ACEH
res.country_city_1118,KABUPATEN PIDIE JAYA,1118,ACEH
res.country_city_1171,KOTA BANDA ACEH,1171,ACEH
res.country_city_1172,KOTA SABANG,1172,ACEH
res.country_city_1173,KOTA LANGSA,1173,ACEH
res.country_city_1174,KOTA LHOKSEUMAWE,1174,ACEH
res.country_city_1175,KOTA SUBULUSSALAM,1175,ACEH
res.country_city_1201,KABUPATEN NIAS,1201,SUMATERA UTARA
res.country_city_1202,KABUPATEN MANDAILING NATAL,1202,SUMATERA UTARA
res.country_city_1203,KABUPATEN TAPANULI SELATAN,1203,SUMATERA UTARA
res.country_city_1204,KABUPATEN TAPANULI TENGAH,1204,SUMATERA UTARA
res.country_city_1205,KABUPATEN TAPANULI UTARA,1205,SUMATERA UTARA
res.country_city_1206,KABUPATEN TOBA SAMOSIR,1206,SUMATERA UTARA
res.country_city_1207,KABUPATEN LABUHAN BATU,1207,SUMATERA UTARA
res.country_city_1208,KABUPATEN ASAHAN,1208,SUMATERA UTARA
res.country_city_1209,KABUPATEN SIMALUNGUN,1209,SUMATERA UTARA
res.country_city_1210,KABUPATEN DAIRI,1210,SUMATERA UTARA
res.country_city_1211,KABUPATEN KARO,1211,SUMATERA UTARA
res.country_city_1212,KABUPATEN DELI SERDANG,1212,SUMATERA UTARA
res.country_city_1213,KABUPATEN LANGKAT,1213,SUMATERA UTARA
res.country_city_1214,KABUPATEN NIAS SELATAN,1214,SUMATERA UTARA
res.country_city_1215,KABUPATEN HUMBANG HASUNDUTAN,1215,SUMATERA UTARA
res.country_city_1216,KABUPATEN PAKPAK BHARAT,1216,SUMATERA UTARA
res.country_city_1217,KABUPATEN SAMOSIR,1217,SUMATERA UTARA
res.country_city_1218,KABUPATEN SERDANG BEDAGAI,1218,SUMATERA UTARA
res.country_city_1219,KABUPATEN BATU BARA,1219,SUMATERA UTARA
res.country_city_1220,KABUPATEN PADANG LAWAS UTARA,1220,SUMATERA UTARA
res.country_city_1221,KABUPATEN PADANG LAWAS,1221,SUMATERA UTARA
res.country_city_1222,KABUPATEN LABUHAN BATU SELATAN,1222,SUMATERA UTARA
res.country_city_1223,KABUPATEN LABUHAN BATU UTARA,1223,SUMATERA UTARA
res.country_city_1224,KABUPATEN NIAS UTARA,1224,SUMATERA UTARA
res.country_city_1225,KABUPATEN NIAS BARAT,1225,SUMATERA UTARA
res.country_city_1271,KOTA SIBOLGA,1271,SUMATERA UTARA
res.country_city_1272,KOTA TANJUNG BALAI,1272,SUMATERA UTARA
res.country_city_1273,KOTA PEMATANG SIANTAR,1273,SUMATERA UTARA
res.country_city_1274,KOTA TEBING TINGGI,1274,SUMATERA UTARA
res.country_city_1275,KOTA MEDAN,1275,SUMATERA UTARA
res.country_city_1276,KOTA BINJAI,1276,SUMATERA UTARA
res.country_city_1277,KOTA PADANGSIDIMPUAN,1277,SUMATERA UTARA
res.country_city_1278,KOTA GUNUNGSITOLI,1278,SUMATERA UTARA
res.country_city_1301,KABUPATEN KEPULAUAN MENTAWAI,1301,SUMATERA BARAT
res.country_city_1302,KABUPATEN PESISIR SELATAN,1302,SUMATERA BARAT
res.country_city_1303,KABUPATEN SOLOK,1303,SUMATERA BARAT
res.country_city_1304,KABUPATEN SIJUNJUNG,1304,SUMATERA BARAT
res.country_city_1305,KABUPATEN TANAH DATAR,1305,SUMATERA BARAT
res.country_city_1306,KABUPATEN PADANG PARIAMAN,1306,SUMATERA BARAT
res.country_city_1307,KABUPATEN AGAM,1307,SUMATERA BARAT
res.country_city_1308,KABUPATEN LIMA PULUH KOTA,1308,SUMATERA BARAT
res.country_city_1309,KABUPATEN PASAMAN,1309,SUMATERA BARAT
res.country_city_1310,KABUPATEN SOLOK SELATAN,1310,SUMATERA BARAT
res.country_city_1311,KABUPATEN DHARMASRAYA,1311,SUMATERA BARAT
res.country_city_1312,KABUPATEN PASAMAN BARAT,1312,SUMATERA BARAT
res.country_city_1371,KOTA PADANG,1371,SUMATERA BARAT
res.country_city_1372,KOTA SOLOK,1372,SUMATERA BARAT
res.country_city_1373,KOTA SAWAH LUNTO,1373,SUMATERA BARAT
res.country_city_1374,KOTA PADANG PANJANG,1374,SUMATERA BARAT
res.country_city_1375,KOTA BUKITTINGGI,1375,SUMATERA BARAT
res.country_city_1376,KOTA PAYAKUMBUH,1376,SUMATERA BARAT
res.country_city_1377,KOTA PARIAMAN,1377,SUMATERA BARAT
res.country_city_1401,KABUPATEN KUANTAN SINGINGI,1401,RIAU
res.country_city_1402,KABUPATEN INDRAGIRI HULU,1402,RIAU
res.country_city_1403,KABUPATEN INDRAGIRI HILIR,1403,RIAU
res.country_city_1404,KABUPATEN PELALAWAN,1404,RIAU
res.country_city_1405,KABUPATEN S I A K,1405,RIAU
res.country_city_1406,KABUPATEN KAMPAR,1406,RIAU
res.country_city_1407,KABUPATEN ROKAN HULU,1407,RIAU
res.country_city_1408,KABUPATEN BENGKALIS,1408,RIAU
res.country_city_1409,KABUPATEN ROKAN HILIR,1409,RIAU
res.country_city_1410,KABUPATEN KEPULAUAN MERANTI,1410,RIAU
res.country_city_1471,KOTA PEKANBARU,1471,RIAU
res.country_city_1473,KOTA DUMAI,1473,RIAU
res.country_city_1501,KABUPATEN KERINCI,1501,JAMBI
res.country_city_1502,KABUPATEN MERANGIN,1502,JAMBI
res.country_city_1503,KABUPATEN SAROLANGUN,1503,JAMBI
res.country_city_1504,KABUPATEN BATANG HARI,1504,JAMBI
res.country_city_1505,KABUPATEN MUARO JAMBI,1505,JAMBI
res.country_city_1506,KABUPATEN TANJUNG JABUNG TIMUR,1506,JAMBI
res.country_city_1507,KABUPATEN TANJUNG JABUNG BARAT,1507,JAMBI
res.country_city_1508,KABUPATEN TEBO,1508,JAMBI
res.country_city_1509,KABUPATEN BUNGO,1509,JAMBI
res.country_city_1571,KOTA JAMBI,1571,JAMBI
res.country_city_1572,KOTA SUNGAI PENUH,1572,JAMBI
res.country_city_1601,KABUPATEN OGAN KOMERING ULU,1601,SUMATERA SELATAN
res.country_city_1602,KABUPATEN OGAN KOMERING ILIR,1602,SUMATERA SELATAN
res.country_city_1603,KABUPATEN MUARA ENIM,1603,SUMATERA SELATAN
res.country_city_1604,KABUPATEN LAHAT,1604,SUMATERA SELATAN
res.country_city_1605,KABUPATEN MUSI RAWAS,1605,SUMATERA SELATAN
res.country_city_1606,KABUPATEN MUSI BANYUASIN,1606,SUMATERA SELATAN
res.country_city_1607,KABUPATEN BANYU ASIN,1607,SUMATERA SELATAN
res.country_city_1608,KABUPATEN OGAN KOMERING ULU SELATAN,1608,SUMATERA SELATAN
res.country_city_1609,KABUPATEN OGAN KOMERING ULU TIMUR,1609,SUMATERA SELATAN
res.country_city_1610,KABUPATEN OGAN ILIR,1610,SUMATERA SELATAN
res.country_city_1611,KABUPATEN EMPAT LAWANG,1611,SUMATERA SELATAN
res.country_city_1612,KABUPATEN PENUKAL ABAB LEMATANG ILIR,1612,SUMATERA SELATAN
res.country_city_1613,KABUPATEN MUSI RAWAS UTARA,1613,SUMATERA SELATAN
res.country_city_1671,KOTA PALEMBANG,1671,SUMATERA SELATAN
res.country_city_1672,KOTA PRABUMULIH,1672,SUMATERA SELATAN
res.country_city_1673,KOTA PAGAR ALAM,1673,SUMATERA SELATAN
res.country_city_1674,KOTA LUBUKLINGGAU,1674,SUMATERA SELATAN
res.country_city_1701,KABUPATEN BENGKULU SELATAN,1701,BENGKULU
res.country_city_1702,KABUPATEN REJANG LEBONG,1702,BENGKULU
res.country_city_1703,KABUPATEN BENGKULU UTARA,1703,BENGKULU
res.country_city_1704,KABUPATEN KAUR,1704,BENGKULU
res.country_city_1705,KABUPATEN SELUMA,1705,BENGKULU
res.country_city_1706,KABUPATEN MUKOMUKO,1706,BENGKULU
res.country_city_1707,KABUPATEN LEBONG,1707,BENGKULU
res.country_city_1708,KABUPATEN KEPAHIANG,1708,BENGKULU
res.country_city_1709,KABUPATEN BENGKULU TENGAH,1709,BENGKULU
res.country_city_1771,KOTA BENGKULU,1771,BENGKULU
res.country_city_1801,KABUPATEN LAMPUNG BARAT,1801,LAMPUNG
res.country_city_1802,KABUPATEN TANGGAMUS,1802,LAMPUNG
res.country_city_1803,KABUPATEN LAMPUNG SELATAN,1803,LAMPUNG
res.country_city_1804,KABUPATEN LAMPUNG TIMUR,1804,LAMPUNG
res.country_city_1805,KABUPATEN LAMPUNG TENGAH,1805,LAMPUNG
res.country_city_1806,KABUPATEN LAMPUNG UTARA,1806,LAMPUNG
res.country_city_1807,KABUPATEN WAY KANAN,1807,LAMPUNG
res.country_city_1808,KABUPATEN TULANGBAWANG,1808,LAMPUNG
res.country_city_1809,KABUPATEN PESAWARAN,1809,LAMPUNG
res.country_city_1810,KABUPATEN PRINGSEWU,1810,LAMPUNG
res.country_city_1811,KABUPATEN MESUJI,1811,LAMPUNG
res.country_city_1812,KABUPATEN TULANG BAWANG BARAT,1812,LAMPUNG
res.country_city_1813,KABUPATEN PESISIR BARAT,1813,LAMPUNG
res.country_city_1871,KOTA BANDAR LAMPUNG,1871,LAMPUNG
res.country_city_1872,KOTA METRO,1872,LAMPUNG
res.country_city_1901,KABUPATEN BANGKA,1901,BANGKA BELITUNG
res.country_city_1902,KABUPATEN BELITUNG,1902,BANGKA BELITUNG
res.country_city_1903,KABUPATEN BANGKA BARAT,1903,BANGKA BELITUNG
res.country_city_1904,KABUPATEN BANGKA TENGAH,1904,BANGKA BELITUNG
res.country_city_1905,KABUPATEN BANGKA SELATAN,1905,BANGKA BELITUNG
res.country_city_1906,KABUPATEN BELITUNG TIMUR,1906,BANGKA BELITUNG
res.country_city_1971,KOTA PANGKAL PINANG,1971,BANGKA BELITUNG
res.country_city_2101,KABUPATEN KARIMUN,2101,KEPULAUAN RIAU
res.country_city_2102,KABUPATEN BINTAN,2102,KEPULAUAN RIAU
res.country_city_2103,KABUPATEN NATUNA,2103,KEPULAUAN RIAU
res.country_city_2104,KABUPATEN LINGGA,2104,KEPULAUAN RIAU
res.country_city_2105,KABUPATEN KEPULAUAN ANAMBAS,2105,KEPULAUAN RIAU
res.country_city_2171,KOTA BATAM,2171,KEPULAUAN RIAU
res.country_city_2172,KOTA TANJUNG PINANG,2172,KEPULAUAN RIAU
res.country_city_3101,KABUPATEN KEPULAUAN SERIBU,3101,JAKARTA
res.country_city_3171,KOTA JAKARTA SELATAN,3171,JAKARTA
res.country_city_3172,KOTA JAKARTA TIMUR,3172,JAKARTA
res.country_city_3173,KOTA JAKARTA PUSAT,3173,JAKARTA
res.country_city_3174,KOTA JAKARTA BARAT,3174,JAKARTA
res.country_city_3175,KOTA JAKARTA UTARA,3175,JAKARTA
res.country_city_3201,KABUPATEN BOGOR,3201,JAWA BARAT
res.country_city_3202,KABUPATEN SUKABUMI,3202,JAWA BARAT
res.country_city_3203,KABUPATEN CIANJUR,3203,JAWA BARAT
res.country_city_3204,KABUPATEN BANDUNG,3204,JAWA BARAT
res.country_city_3205,KABUPATEN GARUT,3205,JAWA BARAT
res.country_city_3206,KABUPATEN TASIKMALAYA,3206,JAWA BARAT
res.country_city_3207,KABUPATEN CIAMIS,3207,JAWA BARAT
res.country_city_3208,KABUPATEN KUNINGAN,3208,JAWA BARAT
res.country_city_3209,KABUPATEN CIREBON,3209,JAWA BARAT
res.country_city_3210,KABUPATEN MAJALENGKA,3210,JAWA BARAT
res.country_city_3211,KABUPATEN SUMEDANG,3211,JAWA BARAT
res.country_city_3212,KABUPATEN INDRAMAYU,3212,JAWA BARAT
res.country_city_3213,KABUPATEN SUBANG,3213,JAWA BARAT
res.country_city_3214,KABUPATEN PURWAKARTA,3214,JAWA BARAT
res.country_city_3215,KABUPATEN KARAWANG,3215,JAWA BARAT
res.country_city_3216,KABUPATEN BEKASI,3216,JAWA BARAT
res.country_city_3217,KABUPATEN BANDUNG BARAT,3217,JAWA BARAT
res.country_city_3218,KABUPATEN PANGANDARAN,3218,JAWA BARAT
res.country_city_3271,KOTA BOGOR,3271,JAWA BARAT
res.country_city_3272,KOTA SUKABUMI,3272,JAWA BARAT
res.country_city_3273,KOTA BANDUNG,3273,JAWA BARAT
res.country_city_3274,KOTA CIREBON,3274,JAWA BARAT
res.country_city_3275,KOTA BEKASI,3275,JAWA BARAT
res.country_city_3276,KOTA DEPOK,3276,JAWA BARAT
res.country_city_3277,KOTA CIMAHI,3277,JAWA BARAT
res.country_city_3278,KOTA TASIKMALAYA,3278,JAWA BARAT
res.country_city_3279,KOTA BANJAR,3279,JAWA BARAT
res.country_city_3301,KABUPATEN CILACAP,3301,JAWA TENGAH
res.country_city_3302,KABUPATEN BANYUMAS,3302,JAWA TENGAH
res.country_city_3303,KABUPATEN PURBALINGGA,3303,JAWA TENGAH
res.country_city_3304,KABUPATEN BANJARNEGARA,3304,JAWA TENGAH
res.country_city_3305,KABUPATEN KEBUMEN,3305,JAWA TENGAH
res.country_city_3306,KABUPATEN PURWOREJO,3306,JAWA TENGAH
res.country_city_3307,KABUPATEN WONOSOBO,3307,JAWA TENGAH
res.country_city_3308,KABUPATEN MAGELANG,3308,JAWA TENGAH
res.country_city_3309,KABUPATEN BOYOLALI,3309,JAWA TENGAH
res.country_city_3310,KABUPATEN KLATEN,3310,JAWA TENGAH
res.country_city_3311,KABUPATEN SUKOHARJO,3311,JAWA TENGAH
res.country_city_3312,KABUPATEN WONOGIRI,3312,JAWA TENGAH
res.country_city_3313,KABUPATEN KARANGANYAR,3313,JAWA TENGAH
res.country_city_3314,KABUPATEN SRAGEN,3314,JAWA TENGAH
res.country_city_3315,KABUPATEN GROBOGAN,3315,JAWA TENGAH
res.country_city_3316,KABUPATEN BLORA,3316,JAWA TENGAH
res.country_city_3317,KABUPATEN REMBANG,3317,JAWA TENGAH
res.country_city_3318,KABUPATEN PATI,3318,JAWA TENGAH
res.country_city_3319,KABUPATEN KUDUS,3319,JAWA TENGAH
res.country_city_3320,KABUPATEN JEPARA,3320,JAWA TENGAH
res.country_city_3321,KABUPATEN DEMAK,3321,JAWA TENGAH
res.country_city_3322,KABUPATEN SEMARANG,3322,JAWA TENGAH
res.country_city_3323,KABUPATEN TEMANGGUNG,3323,JAWA TENGAH
res.country_city_3324,KABUPATEN KENDAL,3324,JAWA TENGAH
res.country_city_3325,KABUPATEN BATANG,3325,JAWA TENGAH
res.country_city_3326,KABUPATEN PEKALONGAN,3326,JAWA TENGAH
res.country_city_3327,KABUPATEN PEMALANG,3327,JAWA TENGAH
res.country_city_3328,KABUPATEN TEGAL,3328,JAWA TENGAH
res.country_city_3329,KABUPATEN BREBES,3329,JAWA TENGAH
res.country_city_3371,KOTA MAGELANG,3371,JAWA TENGAH
res.country_city_3372,KOTA SURAKARTA,3372,JAWA TENGAH
res.country_city_3373,KOTA SALATIGA,3373,JAWA TENGAH
res.country_city_3374,KOTA SEMARANG,3374,JAWA TENGAH
res.country_city_3375,KOTA PEKALONGAN,3375,JAWA TENGAH
res.country_city_3376,KOTA TEGAL,3376,JAWA TENGAH
res.country_city_3401,KABUPATEN KULON PROGO,3401,YOGYAKARTA
res.country_city_3402,KABUPATEN BANTUL,3402,YOGYAKARTA
res.country_city_3403,KABUPATEN GUNUNG KIDUL,3403,YOGYAKARTA
res.country_city_3404,KABUPATEN SLEMAN,3404,YOGYAKARTA
res.country_city_3471,KOTA YOGYAKARTA,3471,YOGYAKARTA
res.country_city_3501,KABUPATEN PACITAN,3501,JAWA TIMUR
res.country_city_3502,KABUPATEN PONOROGO,3502,JAWA TIMUR
res.country_city_3503,KABUPATEN TRENGGALEK,3503,JAWA TIMUR
res.country_city_3504,KABUPATEN TULUNGAGUNG,3504,JAWA TIMUR
res.country_city_3505,KABUPATEN BLITAR,3505,JAWA TIMUR
res.country_city_3506,KABUPATEN KEDIRI,3506,JAWA TIMUR
res.country_city_3507,KABUPATEN MALANG,3507,JAWA TIMUR
res.country_city_3508,KABUPATEN LUMAJANG,3508,JAWA TIMUR
res.country_city_3509,KABUPATEN JEMBER,3509,JAWA TIMUR
res.country_city_3510,KABUPATEN BANYUWANGI,3510,JAWA TIMUR
res.country_city_3511,KABUPATEN BONDOWOSO,3511,JAWA TIMUR
res.country_city_3512,KABUPATEN SITUBONDO,3512,JAWA TIMUR
res.country_city_3513,KABUPATEN PROBOLINGGO,3513,JAWA TIMUR
res.country_city_3514,KABUPATEN PASURUAN,3514,JAWA TIMUR
res.country_city_3515,KABUPATEN SIDOARJO,3515,JAWA TIMUR
res.country_city_3516,KABUPATEN MOJOKERTO,3516,JAWA TIMUR
res.country_city_3517,KABUPATEN JOMBANG,3517,JAWA TIMUR
res.country_city_3518,KABUPATEN NGANJUK,3518,JAWA TIMUR
res.country_city_3519,KABUPATEN MADIUN,3519,JAWA TIMUR
res.country_city_3520,KABUPATEN MAGETAN,3520,JAWA TIMUR
res.country_city_3521,KABUPATEN NGAWI,3521,JAWA TIMUR
res.country_city_3522,KABUPATEN BOJONEGORO,3522,JAWA TIMUR
res.country_city_3523,KABUPATEN TUBAN,3523,JAWA TIMUR
res.country_city_3524,KABUPATEN LAMONGAN,3524,JAWA TIMUR
res.country_city_3525,KABUPATEN GRESIK,3525,JAWA TIMUR
res.country_city_3526,KABUPATEN BANGKALAN,3526,JAWA TIMUR
res.country_city_3527,KABUPATEN SAMPANG,3527,JAWA TIMUR
res.country_city_3528,KABUPATEN PAMEKASAN,3528,JAWA TIMUR
res.country_city_3529,KABUPATEN SUMENEP,3529,JAWA TIMUR
res.country_city_3571,KOTA KEDIRI,3571,JAWA TIMUR
res.country_city_3572,KOTA BLITAR,3572,JAWA TIMUR
res.country_city_3573,KOTA MALANG,3573,JAWA TIMUR
res.country_city_3574,KOTA PROBOLINGGO,3574,JAWA TIMUR
res.country_city_3575,KOTA PASURUAN,3575,JAWA TIMUR
res.country_city_3576,KOTA MOJOKERTO,3576,JAWA TIMUR
res.country_city_3577,KOTA MADIUN,3577,JAWA TIMUR
res.country_city_3578,KOTA SURABAYA,3578,JAWA TIMUR
res.country_city_3579,KOTA BATU,3579,JAWA TIMUR
